Category,Message
imp,urgent: review and reply
nor,how about a quick lunch?
imp,final call: sign the contract
nor,any plans for the weekend?
imp,last chance: join our webinar
nor,let's grab a coffee
imp,mandatory notice: take action
nor,what's your favorite hobby?
imp,important update: attention required
nor,any book recommendations?
imp,urgent message: act now
nor,how's your day going?
imp,deadline approaching: submit today
nor,let's meet for lunch
imp,final reminder: complete the survey
nor,can you help with a task?
imp,deadline extension: more time available
nor,coffee or tea this morning?
imp,urgent action: respond immediately
nor,what's your favorite movie?
imp,important: read this carefully
nor,any progress on the project?
imp,last opportunity: participate now
nor,let's plan a team outing
imp,final notice: register today
nor,how about a dinner tonight?
imp,mandatory action: don't delay
nor,let's schedule a meeting
imp,urgent reminder: submit your work
nor,what's for dinner today?
imp,important update: pay attention
nor,any travel plans coming up?
imp,deadline reminder: act now
nor,tea or coffee this afternoon?
imp,last chance: take the quiz
nor,let's catch up soon
imp,final call: respond promptly
nor,what's on your agenda today?
imp,mandatory training: don't miss it
nor,how's your evening so far?
imp,urgent: submit your application
nor,any exciting weekend plans?
imp,deadline approaching: don't wait
nor,coffee or tea this evening?
imp,important: complete the form
nor,let's have a quick chat
imp,final opportunity: join us now
nor,what's your favorite cuisine?
imp,mandatory notice: take action
nor,any movie you'd recommend?
imp,urgent message: review and reply
nor,how's your team doing?
imp,last chance: sign up today
nor,let's meet for breakfast
imp,final reminder: attend the event
nor,can you assist with this task?
imp,important: read and confirm
nor,any exciting plans for today?
imp,deadline extension: more time given
nor,tea or coffee this morning?
imp,deadline approaching: submit on time
nor,let's plan a family outing
imp,urgent notice: take immediate action
nor,what's on your mind today?
imp,mandatory action required
nor,any interesting book lately?
imp,last opportunity: join the discussion
nor,how about a picnic this weekend?
imp,final notice: don't miss the deadline
nor,coffee or tea this afternoon?
imp,deadline reminder: act promptly
nor,let's grab dinner together
imp,important update: attention needed
nor,any progress on your project?
imp,urgent: respond as soon as possible
nor,what's your favorite music genre?
imp,deadline approaching: don't delay
nor,let's have a team meeting
imp,final call: confirm your attendance
nor,can you share a recipe?
imp,mandatory notice: take action now
nor,any plans for the holidays?
imp,important: complete the survey
nor,how's your day shaping up?
imp,last chance: sign the agreement
nor,coffee or tea this morning?
imp,deadline extension granted
nor,let's meet for a workout
imp,urgent action required
nor,what's for dinner tonight?
imp,deadline reminder: submit your work
nor,any exciting travel experiences?
imp,final notice: join our team
nor,tea or coffee this evening?
imp,important update: read carefully
nor,let's plan a weekend getaway
imp,mandatory training: attend without fail
nor,how about a game night?
imp,deadline approaching: submit today
nor,coffee or tea this afternoon?
imp,accident
imp,admitted in hospital
imp,complete before today
imp,help
nor,hii
nor,hello
nor,hii
